Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature ©,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,5,3,215,155,2.4,13.12,,0.29,15.8095122,,,13.4,13.4,14880,11760,,,,,,,5.187096774,0.001139456,,6.080882353,5.808823529,18.71439024,15.8,4552.258065,4152.55814,80,210,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,5,4,155,200,2.4,16.87,,0.315,19.5845122,,,16.5,16.5,11760,14640,,,,,,,4.95,0.001127049,,5.808823529,5.536764706,15.8095122,13.4,4392,4552.258065,85,230,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,5,5,200,150,2.4,15.70,,0.275,18.37378049,,,15.5,15.5,14640,11200,,,,,,,6.2,0.001383929,,5.536764706,5.264705882,19.5845122,16.5,4480,4392,75,200,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,6,150,155,2.4,15.10,,0.27,17.76512195,,,15,15,11200,11320,,,,,,,5.806451613,0.001325088,,5.264705882,4.992647059,18.37378049,15.5,4381.935484,4480,70,200,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,7,155,125,2.4,15.55,,0.3,18.24634146,,,15.4,15.4,11320,12240,,,,,,,7.392,0.00125817,,4.992647059,4.720588235,17.76512195,15,5875.2,4381.935484,100,200,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,8,125,180,2.4,16.70,,0.35,19.45487805,,,16.4,16.4,12240,13640,,,,,,,5.466666667,0.001202346,,4.720588235,4.448529412,18.24634146,15.4,4546.666667,5875.2,100,250,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,9,180,160,2.4,16.58,,0.35,19.33292683,,,16.3,16.3,13640,13520,,,,,,,6.1125,0.001205621,,4.448529412,4.176470588,19.45487805,16.4,5070,4546.666667,100,250,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,10,160,180,2.4,17.25,,0.4,20.05365854,,,16.9,16.9,13520,11560,,,,,,,5.633333333,0.001461938,,4.176470588,3.904411765,19.33292683,16.3,3853.333333,5070,100,300,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,11,180,165,2.4,15.06,,0.4,17.85853659,,,15.1,15.1,11560,11840,,,,,,,5.490909091,0.001275338,,3.904411765,3.632352941,20.05365854,16.9,4305.454545,3853.333333,100,300,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,12,165,160,2.4,16.16,,0.4,18.95609756,,,16,16,11840,14680,,,,,,,6,0.001089918,,3.632352941,3.360294118,17.85853659,15.1,5505,4305.454545,100,300,,,,,21.5,75,3.5,75,,
Godavari,SRM,NL,5,13,160,165,2.5,15.00,,0.35,17.85,,,15.1,15.1,14680,11760,,,,,,,5.490909091,0.001284014,,3.360294118,3.088235294,18.95609756,16,4276.363636,5505,100,250,,,,,21,69,10,69,,
Godavari,SRM,NL,5,14,165,150,2.5,14.85,,0.37,17.72365854,,,15,15,11760,12000,,,,,,,6,0.00125,,3.088235294,2.816176471,17.85,15.1,4800,4276.363636,120,250,,,,,21,69,10,69,,
