Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,16,8,165,250,1.6,16.53,,0.28,18.41,,,15.4,15.4,9320,13800,,,,,,,3.7,0.001115942,,3.03,2.51,17.19,14.4,3312,3389.09,100,180,,,,,5.4,92.6,2,92.6,,
Godavari,SRM,NL,16,9,250,215,1.6,13.03,,0.15,14.78,,,12.4,12.4,13800,11520,,,,,,,3.46,0.001076389,,2.51,2,18.41,15.4,3214.88,3312,100,50,,,,,5.4,92.6,2,92.6,,
Godavari,SRM,NL,17,1,0,325,1.6,16.77,,0.28,18.65,,,15.6,15.6,0,13680,0,0,,,,,2.88,0.001140351,,6.63,6.29,0,0,2525.54,0,100,180,,,,,5.4,92.6,2,92.6,,
Godavari,SRM,NL,17,2,325,200,1.6,16.83,,0.33,18.76,,,15.7,15.7,13680,13600,,,,,,,4.71,0.001154412,,6.29,5.96,18.65,15.6,4080,2525.54,100,230,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,3,200,170,1.6,14.92,,0.3,16.82,,,14.1,14.1,13600,11040,,,,,,,4.98,0.001277174,,5.96,5.63,18.76,15.7,3896.47,4080,100,200,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,4,170,185,1.6,16.6,,0.32,18.52,,,15.5,15.5,11040,12760,,,,,,,5.03,0.001214734,,5.63,5.3,16.82,14.1,4138.38,3896.47,100,220,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,5,185,180,1.6,16.35,,0.33,18.28,,,15.3,15.3,12760,13400,,,,,,,5.1,0.001141791,,5.3,4.97,18.52,15.5,4466.67,4138.38,100,225,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,6,180,165,1.6,12.92,,0.34,14.86,,,12.5,12.5,13400,11200,,,,,,,4.55,0.001116071,,4.97,4.64,18.28,15.3,4072.73,4466.67,100,240,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,7,165,170,1.6,14.88,,0.33,16.81,,,14.1,14.1,11200,11560,,,,,,,4.98,0.001219723,,4.64,4.31,14.86,12.5,4080,4072.73,80,250,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,8,170,190,1.6,16.59,,0.33,18.52,,,15.5,15.5,11560,12040,,,,,,,4.89,0.001287375,,4.31,3.98,16.81,14.1,3802.11,4080,80,250,,,,,12.4,83,4.6,83,,
Godavari,SRM,NL,17,9,190,,1.6,17.48,,0.3,19.38,,,16.2,16.2,12040,12960,,,,,,,#DIV/0!,0.00125,,3.98,3.65,18.52,15.5,#DIV/0!,3802.11,100,200,,,,,15,83,2,83,,
Godavari,SRM,NL,17,10,,,1.6,17.6,,0.3,19.5,,,16.3,16.3,12960,11320,,,,,,,#DIV/0!,0.001439929,,3.65,3.32,19.38,16.2,#DIV/0!,#DIV/0!,100,200,,,,,15,83,2,83,,
